date,open,high,low,close,volume
2/28/05,11730,11770,11710,11770,
3/1/05,11750,11790,11720,11780,
3/2/05,11800,11840,11780,11800,
3/3/05,11800,11860,11790,11840,
3/4/05,11810,11890,11760,11890,
3/7/05,11950,11990,11910,11920,
3/8/05,11940,11940,11880,11910,
3/9/05,11890,11970,11880,11970,
3/10/05,11900,11970,11840,11840,
3/11/05,11870,11930,11840,11890,
3/14/05,11920,11920,11800,11820,
3/15/05,11840,11870,11730,11780,
3/16/05,11770,11820,11740,11820,
3/17/05,11710,11760,11690,11740,
3/18/05,11730,11870,11720,11820,
3/22/05,11790,11840,11770,11810,
3/23/05,11750,11760,11620,11670,
3/24/05,11680,11760,11640,11670,
3/25/05,11740,11750,11670,11700,
3/28/05,11700,11820,11700,11810,
3/29/05,11790,11810,11560,11580,
3/30/05,11560,11620,11510,11520,
3/31/05,11620,11660,11590,11640,
4/1/05,11570,11720,11550,11720,
4/4/05,11640,11700,11640,11690,
4/5/05,11680,11790,11680,11770,
4/6/05,11780,11840,11750,11830,
4/7/05,11850,11850,11750,11820,
4/8/05,11860,11910,11830,11880,
4/11/05,11840,11850,11740,11740,
4/12/05,11740,11760,11650,11670,
4/13/05,11700,11730,11590,11670,
4/14/05,11590,11590,11470,11560,
4/15/05,11440,11450,11320,11320,
4/18/05,11130,11150,10870,10890,
4/19/05,11010,11090,10970,11050,
4/20/05,11180,11200,11050,11080,
4/21/05,10890,11000,10760,10970,
4/22/05,11140,11150,11050,11060,
4/25/05,11040,11120,11010,11070,
4/26/05,11080,11090,11010,11020,
4/27/05,10960,11030,10950,11020,
4/28/05,10970,10990,10890,10970,
5/2/05,10930,11040,10910,11020,
5/6/05,11130,11190,11110,11170,
5/9/05,11200,11200,11120,11180,
5/10/05,11210,11220,11130,11160,
5/11/05,11070,11110,11030,11100,
5/12/05,11090,11140,11060,11080,
5/13/05,11020,11120,11010,11040,
5/16/05,11020,11050,10930,10950,
5/17/05,11060,11070,10780,10820,
5/18/05,10880,10900,10820,10830,
5/19/05,10980,11100,10960,11070,
5/20/05,11090,11110,11030,11070,
5/23/05,11060,11170,11050,11160,
5/24/05,11180,11200,11100,11130,
5/25/05,11130,11130,10980,11030,
5/26/05,11010,11050,10970,11050,
5/27/05,11110,11170,11090,11160,
5/30/05,11200,11300,11190,11240,
5/31/05,11270,11300,11220,11260,
6/1/05,11220,11320,11210,11300,
6/2/05,11330,11380,11280,11300,
6/3/05,11310,11320,11230,11280,
6/6/05,11220,11270,11190,11260,
6/7/05,11250,11260,11180,11190,
6/8/05,11230,11320,11220,11290,
6/9/05,11280,11290,11140,11140,
6/10/05,11220,11330,11190,11300,
6/13/05,11290,11370,11290,11320,
6/14/05,11340,11370,11320,11340,
6/15/05,11360,11430,11350,11410,
6/16/05,11420,11460,11370,11420,
6/17/05,11470,11520,11450,11520,
6/20/05,11530,11540,11450,11480,
6/21/05,11470,11510,11450,11490,
6/22/05,11490,11560,11430,11540,
6/23/05,11540,11580,11520,11580,
6/24/05,11470,11530,11460,11520,
6/27/05,11440,11450,11380,11430,
6/28/05,11430,11530,11410,11510,
6/29/05,11560,11600,11540,11550,
6/30/05,11560,11590,11540,11560,
7/1/05,11560,11670,11530,11640,
7/4/05,11660,11670,11620,11660,
7/5/05,11640,11660,11600,11600,
7/6/05,11640,11680,11590,11610,
7/7/05,11590,11600,11560,11590,
7/8/05,11540,11660,11540,11580,
7/11/05,11670,11720,11670,11700,
7/12/05,11750,11750,11670,11700,
7/13/05,11710,11710,11650,11680,
7/14/05,11700,11790,11700,11770,
7/15/05,11810,11820,11760,11780,
7/19/05,11750,11770,11730,11770,
7/20/05,11770,11820,11760,11770,
7/21/05,11820,11870,11780,11790,
7/22/05,11750,11750,11650,11700,
7/25/05,11730,11790,11720,11770,
7/26/05,11760,11770,11710,11740,
7/27/05,11760,11850,11750,11840,
7/28/05,11880,11890,11840,11850,
7/29/05,11900,11920,11820,11910,
8/1/05,11900,11980,11890,11970,
8/2/05,11960,11990,11920,11940,
8/3/05,11980,12010,11940,11940,
8/4/05,11950,11960,11820,11890,
8/5/05,11840,11870,11720,11760,
8/8/05,11670,11800,11610,11790,
8/9/05,11780,11960,11770,11920,
8/10/05,12010,12150,11980,12150,
8/11/05,12200,12290,12170,12260,
8/12/05,12280,12330,12230,12280,
8/15/05,12250,12310,12230,12270,
8/16/05,12320,12340,12260,12320,
8/17/05,12270,12370,12260,12290,
8/18/05,12310,12370,12280,12290,
8/19/05,12250,12290,12210,12280,
8/22/05,12340,12490,12320,12480,
8/23/05,12500,12610,12460,12470,
8/24/05,12420,12520,12410,12500,
8/25/05,12430,12470,12400,12450,
8/26/05,12450,12470,12380,12430,
8/29/05,12370,12370,12270,12320,
8/30/05,12430,12470,12390,12470,
8/31/05,12420,12450,12390,12430,
9/1/05,12520,12570,12510,12530,
9/2/05,12590,12600,12540,12560,
9/5/05,12600,12660,12580,12650,
9/6/05,12700,12740,12580,12600,
9/7/05,12680,12690,12570,12610,
9/8/05,12610,12620,12490,12510,
9/9/05,12490,12680,12490,12670,
9/12/05,12900,12900,12770,12830,
9/13/05,12850,12900,12800,12860,
9/14/05,12800,12840,12780,12820,
9/15/05,12780,12950,12760,12940,
9/16/05,12940,12960,12840,12920,
9/20/05,13000,13130,12970,13130,
9/21/05,13150,13200,13070,13160,
9/22/05,13080,13140,13050,13140,
9/26/05,13230,13340,13210,13330,
9/27/05,13340,13370,13280,13320,
9/28/05,13320,13500,13310,13460,
9/29/05,13530,13640,13450,13640,
9/30/05,13680,13690,13540,13560,
10/3/05,13560,13590,13460,13570,
10/4/05,13620,13750,13590,13750,
10/5/05,13750,13780,13650,13660,
10/6/05,13500,13510,13270,13280,
10/7/05,13230,13350,13220,13230,
10/11/05,13260,13550,13230,13530,
10/12/05,13550,13700,13460,13470,
10/13/05,13320,13480,13260,13450,
10/14/05,13400,13540,13350,13410,
10/17/05,13490,13520,13340,13350,
10/18/05,13370,13450,13310,13340,
10/19/05,13290,13310,13070,13160,
10/20/05,13210,13270,13170,13200,
10/21/05,13030,13250,12980,13220,
10/24/05,13240,13250,13080,13100,
10/25/05,13240,13340,13230,13300,
10/26/05,13280,13410,13270,13380,
10/27/05,13440,13500,13390,13410,
10/28/05,13310,13370,13270,13310,
10/31/05,13480,13630,13460,13620,
11/1/05,13660,13870,13660,13860,
11/2/05,13870,13930,13810,13840,
11/4/05,14090,14100,13970,14040,
11/7/05,14060,14090,13970,14030,
11/8/05,14060,14080,13980,14030,
11/9/05,13970,14140,13940,14050,
11/10/05,14030,14130,13980,14040,
11/11/05,14140,14210,14130,14180,
11/14/05,14220,14230,14100,14100,
11/15/05,14060,14140,14040,14090,
11/16/05,14040,14200,14010,14200,
11/17/05,14190,14450,14160,14430,
11/18/05,14590,14660,14560,14660,
11/21/05,14730,14820,14590,14700,
11/22/05,14740,14770,14650,14700,
11/24/05,14850,14870,14710,14710,
11/25/05,14640,14780,14610,14780,
11/28/05,14830,14990,14820,14970,
11/29/05,14900,15000,14860,14920,
11/30/05,14980,15020,14860,14880,
12/1/05,14920,15150,14870,15140,
12/2/05,15280,15410,15240,15370,
12/5/05,15410,15580,15380,15560,
12/6/05,15530,15580,15420,15450,
12/7/05,15530,15560,15460,15500,
12/8/05,15480,15520,15150,15200,
12/9/05,15240,15440,15130,15430,
12/12/05,15600,15760,15580,15760,
12/13/05,15760,15800,15650,15800,
12/14/05,15820,15890,15420,15460,
12/15/05,15280,15460,15170,15170,
12/16/05,15140,15370,15080,15140,
12/19/05,15240,15440,15180,15410,
12/20/05,15390,15650,15350,15580,
12/21/05,15760,16010,15730,15930,
12/22/05,15900,15980,15720,15940,
12/26/05,16030,16130,16020,16110,
12/27/05,16030,16080,15970,15990,
12/28/05,15950,16250,15910,16240,
12/29/05,16280,16450,16250,16360,
12/30/05,16420,16440,16050,16050,
1/4/06,16350,16360,16230,16330,
1/5/06,16430,16480,16360,16370,
1/6/06,16370,16480,16310,16440,
1/10/06,16470,16490,16130,16180,
1/11/06,16160,16380,16000,16360,
1/12/06,16440,16480,16290,16440,
1/13/06,16410,16490,16370,16400,
1/16/06,16330,16390,16210,16210,
1/17/06,16030,16330,15750,15770,
1/18/06,15650,15670,15010,15330,
1/19/06,15450,15740,15440,15690,
1/20/06,15840,15890,15580,15740,
1/23/06,15330,15570,15280,15380,
1/24/06,15480,15680,15480,15660,
1/25/06,15710,15850,15640,15700,
1/26/06,15840,15920,15750,15910,
1/27/06,16270,16480,16160,16470,
1/30/06,16700,16770,16530,16570,
1/31/06,16630,16720,16540,16660,
2/1/06,16540,16670,16470,16480,
2/2/06,16650,16740,16620,16700,
2/3/06,16600,16690,16560,16690,
2/6/06,16760,16790,16570,16720,
2/7/06,16740,16770,16680,16730,
2/8/06,16610,16690,16270,16300,
2/9/06,16460,16540,16350,16500,
2/10/06,16510,16530,16080,16300,
2/13/06,16190,16190,15890,15950,
2/14/06,15870,16190,15690,16150,
2/15/06,16320,16330,15910,15930,
2/16/06,15870,16140,15820,16000,
2/17/06,16060,16140,15690,15760,
2/20/06,15580,15720,15380,15470,
2/21/06,15700,15900,15560,15890,
2/22/06,15900,15930,15670,15750,
2/23/06,15910,16090,15910,16060,
2/24/06,16050,16130,15940,16090,
2/27/06,16170,16300,16120,16150,
2/28/06,16210,16240,15950,16210,
3/1/06,16000,16060,15900,15930,
3/2/06,16070,16110,15860,15940,
3/3/06,15840,15890,15650,15690,
3/6/06,15700,15920,15600,15910,
3/7/06,15850,15870,15670,15750,
3/8/06,15650,15730,15550,15680,
3/9/06,15660,16070,15660,16040,
3/10/06,15930,16210,15900,16010,
3/13/06,16220,16320,16210,16300,
3/14/06,16340,16350,16170,16180,
3/15/06,16280,16310,16230,16240,
3/16/06,16280,16300,15960,16090,
3/17/06,16100,16280,16030,16240,
3/20/06,16260,16620,16250,16520,
3/22/06,16510,16530,16400,16430,
3/23/06,16560,16590,16390,16430,
3/24/06,16450,16560,16380,16470,
3/27/06,16580,16660,16570,16570,
3/28/06,16550,16700,16450,16650,
3/29/06,16670,16990,16610,16910,
3/30/06,17010,17140,16970,17060,
3/31/06,17100,17110,16990,17020,
4/3/06,17130,17410,17110,17350,
4/4/06,17290,17430,17270,17330,
4/5/06,17340,17480,17190,17280,
4/6/06,17390,17510,17360,17510,
4/7/06,17520,17580,17420,17560,
4/10/06,17470,17500,17380,17490,
4/11/06,17470,17500,17280,17450,
4/12/06,17310,17330,17160,17170,
4/13/06,17240,17310,17070,17200,
4/14/06,17250,17300,17150,17230,
4/17/06,17250,17260,17000,17030,
4/18/06,16990,17290,16930,17240,
4/19/06,17430,17480,17350,17390,
4/20/06,17410,17430,17290,17350,
4/21/06,17320,17480,17260,17420,
4/24/06,17220,17230,16850,16850,
4/25/06,16930,17010,16790,16940,
4/26/06,16990,17120,16950,17090,
4/27/06,17150,17190,17100,17150,
4/28/06,17010,17040,16740,16980,
5/1/06,16940,16960,16870,16940,
5/2/06,16920,17200,16890,17120,
5/8/06,17380,17400,17250,17300,
5/9/06,17240,17290,17170,17190,
5/10/06,17130,17260,16890,16960,
5/11/06,16880,17090,16830,16890,
5/12/06,16590,16630,16410,16600,
5/15/06,16280,16490,16260,16480,
5/16/06,16470,16600,16110,16160,
5/17/06,16270,16320,16030,16270,
5/18/06,15940,16150,15910,16070,
5/19/06,16040,16180,15920,16110,
